# rta
#: time in fs  dipole-momenta: x   y   z
   0.00000  -0.61519548E-07   0.70572670E-08  -0.10288926E-07
   0.04840  -0.68949739E-07  -0.17134298E-08   0.17479722E-08
   0.09680  -0.64909309E-07  -0.14524148E-08   0.30530550E-06
   0.14520  -0.58381073E-07  -0.10285876E-08   0.15489949E-05
   0.19360  -0.49673618E-07  -0.47472126E-09   0.46223463E-05
   0.24200  -0.39193467E-07   0.16827976E-09   0.10364805E-04
   0.29040  -0.27423392E-07   0.85297558E-09   0.19222934E-04
   0.33880  -0.14895697E-07   0.15285106E-08   0.30892645E-04
   0.38720  -0.21629646E-08   0.21438910E-08   0.43996933E-04
   0.43560   0.10234295E-07   0.26521227E-08   0.55849341E-04
   0.48400   0.21798926E-07   0.30147206E-08   0.62344930E-04
   0.53240   0.32109138E-07   0.32037420E-08   0.58001640E-04
   0.58080   0.40823244E-07   0.32014734E-08   0.36278787E-04
   0.62920   0.47699745E-07   0.30003435E-08  -0.10067147E-04
   0.67760   0.52595065E-07   0.26026080E-08  -0.88343442E-04
   0.72600   0.55460459E-07   0.20221718E-08  -0.20516393E-03
   0.77440   0.56333088E-07   0.12840936E-08  -0.36559458E-03
   0.82280   0.55325257E-07   0.42497614E-09  -0.57226369E-03
   0.87120   0.52607630E-07  -0.51149352E-09  -0.82450760E-03
   0.91960   0.48396682E-07  -0.14736332E-08  -0.11176280E-02
   0.96800   0.42958614E-07  -0.23831304E-08  -0.14423359E-02
   1.01640   0.36510468E-07  -0.32380687E-08  -0.17844504E-02
   1.06480   0.29356528E-07  -0.39358001E-08  -0.21249541E-02
   1.11320   0.21755051E-07  -0.44326544E-08  -0.24403353E-02
   1.16160   0.13957539E-07  -0.46898071E-08  -0.27033668E-02
   1.21000   0.61947416E-08  -0.46845765E-08  -0.28842455E-02
   1.25840  -0.13266311E-08  -0.44133077E-08  -0.29520848E-02
   1.30680  -0.84279261E-08  -0.38909448E-08  -0.28767091E-02
   1.35520  -0.14957124E-07  -0.31486874E-08  -0.26306770E-02
   1.40360  -0.20789497E-07  -0.22314415E-08  -0.21914339E-02
   1.45200  -0.25772667E-07  -0.10931901E-08  -0.15434588E-02
   1.50040  -0.29960696E-07  -0.21556814E-10  -0.68018197E-03
   1.54880  -0.33223890E-07   0.10691566E-08   0.39376507E-03
   1.59720  -0.35551963E-07   0.21003040E-08   0.16616517E-02
   1.64560  -0.36945393E-07   0.30151538E-08   0.30935971E-02
   1.69400  -0.37418989E-07   0.37695703E-08   0.46463103E-02
   1.74240  -0.37001596E-07   0.43321444E-08   0.62635350E-02
   1.79080  -0.35732553E-07   0.46837075E-08   0.78772522E-02
   1.83920  -0.33660350E-07   0.48170631E-08   0.94096563E-02
   1.88760  -0.30841919E-07   0.47374310E-08   0.10775881E-01
   1.93600  -0.28117218E-07   0.37991748E-08   0.11887373E-01
   1.98440  -0.24115426E-07   0.31433771E-08   0.12655690E-01
   2.03280  -0.19472663E-07   0.24781253E-08   0.12997718E-01
   2.08120  -0.14387988E-07   0.17494063E-08   0.12839450E-01
   2.12960  -0.89242944E-08   0.95855329E-09   0.12120976E-01
   2.17800  -0.31712502E-08   0.12714637E-09   0.10800978E-01
   2.22640   0.27559289E-08  -0.71368520E-09   0.88607776E-02
   2.27480   0.87235553E-08  -0.15198242E-08   0.63077117E-02
   2.32320   0.14599741E-07  -0.22496790E-08   0.31775970E-02
   2.37160   0.20243049E-07  -0.28785760E-08  -0.46391602E-03
   2.42000   0.25454811E-07  -0.32876891E-08  -0.45212695E-02
   2.46840   0.30189099E-07  -0.36360507E-08  -0.88703612E-02
   2.51680   0.34237288E-07  -0.38773956E-08  -0.13361095E-01
   2.56520   0.37455404E-07  -0.39948390E-08  -0.17821786E-01
   2.61360   0.39697677E-07  -0.39954714E-08  -0.22064641E-01
   2.66200   0.40840917E-07  -0.38824114E-08  -0.25892520E-01
   2.71040   0.40775830E-07  -0.36643239E-08  -0.29106699E-01
   2.75880   0.39448088E-07  -0.33453740E-08  -0.31515367E-01
   2.80720   0.36824542E-07  -0.29363581E-08  -0.32942511E-01
   2.85560   0.32907085E-07  -0.24465875E-08  -0.33236852E-01
   2.90400   0.27236329E-07  -0.24885361E-08  -0.32279540E-01
   2.95240   0.21028292E-07  -0.17946669E-08  -0.29994668E-01
   3.00080   0.13906520E-07  -0.10512774E-08  -0.26353072E-01
   3.04920   0.60688422E-08  -0.28363901E-09  -0.21378514E-01
   3.09760  -0.22441220E-08   0.48453951E-09  -0.15150851E-01
   3.14600  -0.10754823E-07   0.12302504E-08  -0.78071437E-02
   3.19440  -0.19165104E-07   0.19303605E-08   0.45955622E-03
   3.24280  -0.27172315E-07   0.25624133E-08   0.94038440E-02
   3.29120  -0.34482678E-07   0.31060986E-08   0.18734034E-01
   3.33960  -0.40822830E-07   0.35454484E-08   0.28120573E-01
   3.38800  -0.49446817E-07   0.50703011E-08   0.37205969E-01
   3.43640  -0.53018011E-07   0.53536018E-08   0.45618973E-01
   3.48480  -0.54957092E-07   0.54968912E-08   0.52986830E-01
   3.53320  -0.55165413E-07   0.55044837E-08   0.58950401E-01
   3.58160  -0.53605421E-07   0.53854204E-08   0.63179489E-01
   3.63000  -0.50302531E-07   0.51521726E-08   0.65387884E-01
   3.67840  -0.45344952E-07   0.48196471E-08   0.65347623E-01
   3.72680  -0.38880674E-07   0.44056476E-08   0.62901814E-01
   3.77520  -0.31112577E-07   0.39293299E-08   0.57975450E-01
   3.82360  -0.22291800E-07   0.34105168E-08   0.50583633E-01
   3.87200  -0.13408920E-07   0.86577843E-08   0.40833163E-01
   3.92040  -0.33023891E-08   0.79112358E-08   0.28938709E-01
   3.96880   0.68001749E-08   0.71869558E-08   0.15199058E-01
   4.01720   0.16557141E-07   0.65314257E-08   0.58369642E-05
   4.06560   0.25642121E-07   0.60052350E-08  -0.16169787E-01
   4.11400   0.33755443E-07   0.56664866E-08  -0.32790420E-01
   4.16240   0.40638361E-07   0.55599803E-08  -0.49269096E-01
   4.21080   0.46090013E-07   0.57045271E-08  -0.64988803E-01
   4.25920   0.49948907E-07   0.61030099E-08  -0.79324258E-01
   4.30760   0.52091694E-07   0.67462933E-08  -0.91665216E-01
   4.35600   0.59373193E-07   0.80449073E-08  -0.10143644E+00
   4.40440   0.57713021E-07   0.93294178E-08  -0.10813512E+00
   4.45280   0.54469441E-07   0.10439208E-07  -0.11133716E+00
   4.50120   0.49850121E-07   0.11300583E-07  -0.11072604E+00
   4.54960   0.44065078E-07   0.11881779E-07  -0.10610909E+00
   4.59800   0.37325137E-07   0.12191272E-07  -0.97431411E-01
   4.64640   0.29869197E-07   0.12251683E-07  -0.84785207E-01
   4.69480   0.21942799E-07   0.12096386E-07  -0.68414112E-01
   4.74320   0.13794959E-07   0.11763563E-07  -0.48711953E-01
   4.79160   0.57121341E-08   0.11267909E-07  -0.26215806E-01
   4.84000   0.48903895E-07   0.14552059E-07  -0.15597693E-02
   4.88840   0.47464570E-07   0.89661849E-08   0.24401400E-01
   4.93680   0.45708516E-07   0.29945670E-08   0.50839158E-01
   4.98520   0.43918663E-07  -0.32988376E-08   0.76823431E-01
   5.03360   0.42402352E-07  -0.97950847E-08   0.10139433E+00
   5.08200   0.41459183E-07  -0.16352227E-07   0.12359615E+00
   5.13040   0.41360470E-07  -0.22833048E-07   0.14251284E+00
   5.17880   0.42321923E-07  -0.29124608E-07   0.15730363E+00
   5.22720   0.44489120E-07  -0.35150019E-07   0.16723758E+00
   5.27560   0.47919461E-07  -0.40870740E-07   0.17172562E+00
   5.32400  -0.10125456E-08  -0.33720612E-08   0.17033424E+00
   5.37240   0.39176683E-08  -0.74703743E-08   0.16286529E+00
   5.42080   0.10779257E-07  -0.12062312E-07   0.14929127E+00
   5.46920   0.19295874E-07  -0.17193280E-07   0.12981799E+00
   5.51760   0.29130608E-07  -0.22853791E-07   0.10487420E+00
   5.56600   0.39902970E-07  -0.28986993E-07   0.75105783E-01
   5.61440   0.51195035E-07  -0.35473563E-07   0.41361525E-01
   5.66280   0.62567220E-07  -0.42162220E-07   0.46709368E-02
   5.71120   0.73633239E-07  -0.48906214E-07  -0.33785578E-01
   5.75960   0.84089199E-07  -0.55560361E-07  -0.72713265E-01
   5.80800   0.11447131E-06  -0.69424363E-07  -0.11073537E+00
   5.85640   0.12460803E-06  -0.74095986E-07  -0.14644957E+00
   5.90480   0.13337516E-06  -0.78353753E-07  -0.17850799E+00
   5.95320   0.14070086E-06  -0.82277546E-07  -0.20561703E+00
   6.00160   0.14659096E-06  -0.85962342E-07  -0.22660760E+00
   6.05000   0.15110295E-06  -0.89494170E-07  -0.24048273E+00
   6.09840   0.15432547E-06  -0.92927850E-07  -0.24646080E+00
   6.14680   0.15629623E-06  -0.96265163E-07  -0.24401269E+00
   6.19520   0.15704307E-06  -0.99439400E-07  -0.23289116E+00
   6.24360   0.15660979E-06  -0.10232327E-06  -0.21315105E+00
   6.29200   0.15634949E-06  -0.11460780E-06  -0.18506284E+00
   6.34040   0.15506500E-06  -0.11734506E-06  -0.14950971E+00
   6.38880   0.15219740E-06  -0.11921370E-06  -0.10735745E+00
   6.43720   0.14751774E-06  -0.12005055E-06  -0.59853145E-01
   6.48560   0.14086186E-06  -0.11976897E-06  -0.84817995E-02
   6.53400   0.13212843E-06  -0.11837221E-06   0.45078391E-01
   6.58240   0.12133281E-06  -0.11596453E-06   0.99009314E-01
   6.63080   0.10858053E-06  -0.11268023E-06   0.15141314E+00
   6.67920   0.94022307E-07  -0.10859368E-06   0.20037762E+00
   6.72760   0.77925492E-07  -0.10377892E-06   0.24404420E+00
   6.77600   0.71901267E-07  -0.10326554E-06   0.28058380E+00
   6.82440   0.55491601E-07  -0.99602221E-07   0.30860795E+00
   6.87280   0.38627575E-07  -0.95482820E-07   0.32675930E+00
   6.92120   0.21721911E-07  -0.90965067E-07   0.33405218E+00
   6.96960   0.52016458E-08  -0.86076960E-07   0.32985659E+00
   7.01800  -0.10536192E-07  -0.80819102E-07   0.31393371E+00
   7.06640  -0.25149709E-07  -0.75191468E-07   0.28645791E+00
   7.11480  -0.38275840E-07  -0.69203649E-07   0.24802401E+00
   7.16320  -0.49616922E-07  -0.62861846E-07   0.19963901E+00
   7.21160  -0.58940995E-07  -0.56179126E-07   0.14269820E+00
   7.26000  -0.10772514E-06  -0.44812099E-07   0.78759378E-01
   7.30840  -0.10917230E-06  -0.43437508E-07   0.10317498E-01
   7.35680  -0.10804837E-06  -0.41705904E-07  -0.60617098E-01
   7.40520  -0.10456482E-06  -0.39398783E-07  -0.13161185E+00
   7.45360  -0.99038264E-07  -0.36338608E-07  -0.20015761E+00
   7.50200  -0.91842971E-07  -0.32433018E-07  -0.26375554E+00
   7.55040  -0.83442321E-07  -0.27681149E-07  -0.32000603E+00
   7.59880  -0.74301663E-07  -0.22135007E-07  -0.36669722E+00
   7.64720  -0.64828890E-07  -0.15854234E-07  -0.40189002E+00
   7.69560  -0.55455306E-07  -0.89187545E-08  -0.42399665E+00
   7.74400  -0.54960530E-07   0.10815667E-08  -0.43165655E+00
   7.79240  -0.46823454E-07   0.81131079E-08  -0.42455123E+00
   7.84080  -0.39921598E-07   0.15374397E-07  -0.40232490E+00
   7.88920  -0.34519830E-07   0.22800744E-07  -0.36533867E+00
   7.93760  -0.30786655E-07   0.30351128E-07  -0.31449369E+00
   7.98600  -0.28797934E-07   0.38021144E-07  -0.25121327E+00
   8.03440  -0.28493565E-07   0.45815305E-07  -0.17740436E+00
