#RTA protocol at iterat= 2200
#  j  err   errj     diffrho    sumj0     sumj1     diffE    sumvar2 
      1  7.455753E-07  3.228300E-07 -3.572254E-12   1.39882       1.31828      1.310189E-02  3.256448E-04
      2  1.223736E-06  6.358076E-07 -1.063238E-11   1.39882       1.24020      1.761792E-02  2.648008E-04
      3  1.603536E-06  9.350745E-07  2.033040E-12   1.39882       1.16551      1.570126E-02  2.257368E-04
      4  1.990483E-06  1.216740E-06  2.547296E-12   1.39882       1.09550      8.789066E-03  2.018583E-04
      5  2.408920E-06  1.477778E-06  6.959766E-12   1.39882       1.03097     -1.555158E-03  1.879382E-04
      6  2.861093E-06  1.716676E-06  2.533085E-12   1.39882      0.972108     -1.400080E-02  1.811830E-04
      7  3.030453E-06  1.913879E-06 -1.725642E-11   1.39882      0.922423     -1.578294E-02  1.695298E-04
      8  2.948898E-06  2.079753E-06  1.120526E-11   1.39882      0.879435     -8.522075E-03  1.544160E-04
      9  2.923916E-06  2.237055E-06  1.966605E-11   1.39882      0.838759     -4.780242E-03  1.436613E-04
     10  2.916717E-06  2.383569E-06  5.651479E-12   1.39882      0.800808     -2.819869E-03  1.361491E-04
     11  2.912040E-06  2.518838E-06 -9.749535E-12   1.39882      0.765608     -1.769667E-03  1.302366E-04
     12  2.906154E-06  2.643440E-06 -3.630873E-11   1.39882      0.732991     -1.189088E-03  1.249546E-04
     13  2.891597E-06  2.757972E-06 -9.369394E-12   1.39882      0.702751     -8.542064E-04  1.197116E-04
     14  2.869109E-06  2.863436E-06 -3.277290E-11   1.39882      0.674705     -6.503716E-04  1.141616E-04
     15  2.840005E-06  2.960442E-06 -4.190781E-11   1.39882      0.648673     -5.182868E-04  1.081368E-04
     16  2.805671E-06  3.049942E-06 -4.878320E-11   1.39882      0.624477     -4.268556E-04  1.016050E-04
     17  2.765698E-06  3.132519E-06 -2.088552E-11   1.39882      0.601998     -3.594679E-04  9.463584E-05
     18  2.719089E-06  3.209051E-06 -3.255085E-11   1.39882      0.581118     -3.070413E-04  8.736977E-05
     19  2.664677E-06  3.279928E-06 -6.781242E-12   1.39882      0.561721     -2.644672E-04  7.998972E-05
     20  2.603040E-06  3.345603E-06  6.775025E-12   1.39882      0.543694     -2.287752E-04  7.269502E-05
     21  2.537532E-06  3.406531E-06  1.033129E-11   1.39882      0.526928     -1.981684E-04  6.567922E-05
     22  2.465041E-06  3.462958E-06 -9.352519E-12   1.39882      0.511308     -1.715196E-04  5.911244E-05
     23  2.387570E-06  3.515179E-06 -6.965095E-12   1.39882      0.496759     -1.480888E-04  5.312888E-05
     24  2.307938E-06  3.563514E-06 -3.702105E-11   1.39882      0.483215     -1.273620E-04  4.781959E-05
     25  2.229899E-06  3.608165E-06 -3.445866E-11   1.39882      0.470637     -1.089688E-04  4.323016E-05
     26  2.155570E-06  3.649396E-06 -5.793055E-11   1.39882      0.458980     -9.262647E-05  3.936284E-05
     27  2.088655E-06  3.687443E-06 -5.237055E-11   1.39882      0.448220     -7.810430E-05  3.618191E-05
     28  2.030939E-06  3.722695E-06 -7.188383E-11   1.39882      0.438320     -6.521210E-05  3.362161E-05
     29  1.985762E-06  3.755067E-06 -8.790657E-11   1.39882      0.429292     -5.378730E-05  3.159524E-05
     30  1.959820E-06  3.784739E-06 -1.061560E-10   1.39882      0.421090     -4.368458E-05  3.000460E-05
     31  1.946798E-06  3.811735E-06 -8.939161E-11   1.39882      0.413721     -3.478259E-05  2.874885E-05
     32  1.937748E-06  3.836153E-06 -1.130234E-10   1.39882      0.407151     -2.697225E-05  2.773209E-05
     33  1.930489E-06  3.858085E-06 -1.448148E-10   1.39882      0.401349     -2.015988E-05  2.686922E-05
     34  1.923879E-06  3.877636E-06 -1.625571E-10   1.39882      0.396300     -1.426883E-05  2.608994E-05
     35  1.916614E-06  3.894999E-06 -1.923457E-10   1.39882      0.391950     -9.234889E-06  2.534073E-05
     36  1.907637E-06  3.910311E-06 -2.154428E-10   1.39882      0.388286     -5.001827E-06  2.458505E-05
     37  1.896716E-06  3.923580E-06 -2.125411E-10   1.39882      0.385265     -1.526951E-06  2.380218E-05
     38  1.884147E-06  3.934817E-06 -2.174589E-10   1.39882      0.382851      1.229369E-06  2.298478E-05
     39  1.869669E-06  3.944160E-06 -2.434586E-10   1.39882      0.380994      3.299462E-06  2.213591E-05
     40  1.855783E-06  3.951734E-06 -2.548584E-10   1.39882      0.379675      4.720765E-06  2.126569E-05
     41  1.840726E-06  3.957498E-06 -2.663745E-10   1.39882      0.378860      5.524470E-06  2.038804E-05
     42  1.824100E-06  3.961532E-06 -2.456284E-10   1.39882      0.378530      5.751959E-06  1.951781E-05
     43  1.804419E-06  3.963901E-06 -2.158922E-10   1.39882      0.378657      5.443561E-06  1.866851E-05
     44  1.781549E-06  3.964704E-06 -1.870832E-10   1.39882      0.379217      4.651554E-06  1.785065E-05
     45  1.754997E-06  3.963967E-06 -2.031646E-10   1.39882      0.380182      3.427445E-06  1.707086E-05
     46  1.723781E-06  3.961754E-06 -2.115694E-10   1.39882      0.381530      1.833804E-06  1.633172E-05
     47  1.688916E-06  3.958120E-06 -2.334879E-10   1.39882      0.383240     -6.570634E-08  1.563210E-05
     48  1.651336E-06  3.953092E-06 -2.433032E-10   1.39882      0.385289     -2.201831E-06  1.496802E-05
     49  1.611669E-06  3.946744E-06 -2.159695E-10   1.39882      0.387665     -4.506686E-06  1.433370E-05
     50  1.571154E-06  3.939127E-06 -1.974003E-10   1.39882      0.390352     -6.910470E-06  1.372282E-05
     51  1.531036E-06  3.930295E-06 -1.838023E-10   1.39882      0.393334     -9.346738E-06  1.312964E-05
     52  1.492652E-06  3.920308E-06 -2.091776E-10   1.39882      0.396598     -1.175463E-05  1.255005E-05
     53  1.457326E-06  3.909198E-06 -1.781597E-10   1.39882      0.400133     -1.407892E-05  1.198227E-05
     54  1.425752E-06  3.897010E-06 -1.611946E-10   1.39882      0.403923     -1.627041E-05  1.142727E-05
     55  1.398234E-06  3.883789E-06 -1.378755E-10   1.39882      0.407956     -1.828920E-05  1.088884E-05
     56  1.375877E-06  3.869565E-06 -1.150413E-10   1.39882      0.412222     -2.010558E-05  1.037332E-05
     57  1.363887E-06  3.854392E-06 -1.267741E-10   1.39882      0.416710     -2.169623E-05  9.889040E-06
     58  1.358557E-06  3.838304E-06 -1.252856E-10   1.39882      0.421410     -2.304701E-05  9.445596E-06
     59  1.358081E-06  3.821333E-06 -1.250013E-10   1.39882      0.426312     -2.415304E-05  9.052903E-06
     60  1.359569E-06  3.803525E-06 -1.115028E-10   1.39882      0.431407     -2.501274E-05  8.720274E-06
     61  1.360651E-06  3.784908E-06 -9.560885E-11   1.39882      0.436686     -2.563137E-05  8.455514E-06
     62  1.361065E-06  3.765527E-06 -1.147757E-10   1.39882      0.442139     -2.602006E-05  8.264139E-06
     63  1.360337E-06  3.745425E-06 -1.422116E-10   1.39882      0.447759     -2.619064E-05  8.148770E-06
     64  1.357752E-06  3.724636E-06 -1.604761E-10   1.39882      0.453539     -2.615493E-05  8.108772E-06
     65  1.353004E-06  3.703190E-06 -1.386411E-10   1.39882      0.459469     -2.593045E-05  8.140129E-06
     66  1.346073E-06  3.681122E-06 -1.633618E-10   1.39882      0.465542     -2.552887E-05  8.235582E-06
     67  1.337298E-06  3.658472E-06 -1.714664E-10   1.39882      0.471749     -2.496615E-05  8.385001E-06
     68  1.326971E-06  3.635273E-06 -1.893374E-10   1.39882      0.478082     -2.425419E-05  8.575955E-06
     69  1.314656E-06  3.611562E-06 -1.813953E-10   1.39882      0.484535     -2.340571E-05  8.794440E-06
     70  1.300736E-06  3.587370E-06 -1.901368E-10   1.39882      0.491098     -2.243151E-05  9.025691E-06
     71  1.285696E-06  3.562730E-06 -2.020490E-10   1.39882      0.497765     -2.134084E-05  9.255030E-06
     72  1.270120E-06  3.537666E-06 -2.064979E-10   1.39882      0.504527     -2.014815E-05  9.468690E-06
     73  1.254528E-06  3.512211E-06 -1.978373E-10   1.39882      0.511376     -1.886039E-05  9.654539E-06
     74  1.239148E-06  3.486395E-06 -2.025446E-10   1.39882      0.518309     -1.749315E-05  9.802684E-06
     75  1.225127E-06  3.460248E-06 -2.300204E-10   1.39882      0.525316     -1.605714E-05  9.905905E-06
     76  1.213176E-06  3.433801E-06 -2.099743E-10   1.39882      0.532391     -1.456743E-05  9.959899E-06
     77  1.204615E-06  3.407083E-06 -2.165566E-10   1.39882      0.539525     -1.303861E-05  9.963328E-06
     78  1.199346E-06  3.380124E-06 -2.093428E-10   1.39882      0.546711     -1.148812E-05  9.917691E-06
     79  1.195327E-06  3.352954E-06 -2.318723E-10   1.39882      0.553946     -9.934566E-06  9.827014E-06
     80  1.191732E-06  3.325599E-06 -2.236327E-10   1.39882      0.561221     -8.395283E-06  9.697410E-06
     81  1.188049E-06  3.298089E-06 -2.072280E-10   1.39882      0.568528     -6.892106E-06  9.536541E-06
     82  1.184347E-06  3.270444E-06 -2.116387E-10   1.39882      0.575859     -5.441050E-06  9.353018E-06
     83  1.180607E-06  3.242692E-06 -2.060192E-10   1.39882      0.583214     -4.063243E-06  9.155783E-06
     84  1.177142E-06  3.214855E-06 -1.888010E-10   1.39882      0.590586     -2.772803E-06  8.953519E-06
     85  1.174342E-06  3.186959E-06 -1.956701E-10   1.39882      0.597967     -1.588532E-06  8.754120E-06
     86  1.171883E-06  3.159028E-06 -1.988836E-10   1.39882      0.605354     -5.221277E-07  8.564257E-06
     87  1.169700E-06  3.131084E-06 -1.774652E-10   1.39882      0.612737      4.165329E-07  8.389048E-06
     88  1.167568E-06  3.103145E-06 -1.741869E-10   1.39882      0.620112      1.218015E-06  8.231860E-06
     89  1.165250E-06  3.075230E-06 -1.625535E-10   1.39882      0.627475      1.881069E-06  8.094241E-06
     90  1.162543E-06  3.047362E-06 -1.364393E-10   1.39882      0.634821      2.402384E-06  7.975971E-06
     91  1.159279E-06  3.019561E-06 -1.325464E-10   1.39882      0.642146      2.783740E-06  7.875229E-06
     92  1.155612E-06  2.991839E-06 -1.350324E-10   1.39882      0.649447      3.032323E-06  7.788847E-06
     93  1.151489E-06  2.964213E-06 -1.167892E-10   1.39882      0.656720      3.154094E-06  7.712637E-06
     94  1.146976E-06  2.936699E-06 -9.707879E-11   1.39882      0.663960      3.159783E-06  7.641757E-06
     95  1.142145E-06  2.909314E-06 -7.380851E-11   1.39882      0.671163      3.063371E-06  7.571092E-06
     96  1.137112E-06  2.882072E-06 -7.389644E-11   1.39882      0.678328      2.877003E-06  7.495625E-06
     97  1.132138E-06  2.854986E-06 -9.589574E-11   1.39882      0.685448      2.616665E-06  7.410774E-06
     98  1.127280E-06  2.828066E-06 -7.108270E-11   1.39882      0.692523      2.297473E-06  7.312677E-06
     99  1.122555E-06  2.801326E-06 -9.262902E-11   1.39882      0.699552      1.935136E-06  7.198407E-06
    100  1.118163E-06  2.774776E-06 -6.560086E-11   1.39882      0.706529      1.544797E-06  7.066116E-06
    101  1.114085E-06  2.748438E-06 -8.763212E-11   1.39882      0.713450      1.142655E-06  6.915102E-06
    102  1.110536E-06  2.722400E-06 -1.055014E-10   1.39882      0.720312      7.414819E-07  6.745788E-06
    103  1.107496E-06  2.696686E-06 -1.178444E-10   1.39882      0.727113      3.528244E-07  6.559648E-06
    104  1.104693E-06  2.671484E-06 -1.260698E-10   1.39882      0.733851     -1.066715E-08  6.359059E-06
    105  1.101949E-06  2.647084E-06 -1.041878E-10   1.39882      0.740526     -3.400245E-07  6.147121E-06
    106  1.099264E-06  2.623654E-06 -9.378276E-11   1.39882      0.747136     -6.261812E-07  5.927430E-06
    107  1.096640E-06  2.600878E-06 -7.779200E-11   1.39882      0.753678     -8.633401E-07  5.703854E-06
    108  1.094075E-06  2.578802E-06 -7.911538E-11   1.39882      0.760150     -1.046802E-06  5.480299E-06
    109  1.091890E-06  2.557377E-06 -7.105605E-11   1.39882      0.766552     -1.171570E-06  5.260487E-06
    110  1.090064E-06  2.536525E-06 -8.004974E-11   1.39882      0.772881     -1.235723E-06  5.047773E-06
    111  1.088510E-06  2.516262E-06 -5.850520E-11   1.39882      0.779138     -1.239227E-06  4.844986E-06
    112  1.087083E-06  2.496636E-06 -6.642598E-11   1.39882      0.785321     -1.180058E-06  4.654320E-06
