# TDLDA
# time in fs  dipole-momenta: x   y   z
   0.00000  -0.61519548E-07   0.70572672E-08  -0.10288916E-07
   0.04840  -0.68949739E-07  -0.17134295E-08   0.17479802E-08
   0.09680  -0.64909309E-07  -0.14524149E-08   0.30530551E-06
   0.14520  -0.58381073E-07  -0.10285871E-08   0.15489949E-05
   0.19360  -0.49673619E-07  -0.47472067E-09   0.46223463E-05
   0.24200  -0.39193468E-07   0.16827992E-09   0.10364805E-04
   0.29040  -0.27423392E-07   0.85297655E-09   0.19222934E-04
   0.33880  -0.14895697E-07   0.15285109E-08   0.30892645E-04
   0.38720  -0.21629648E-08   0.21438913E-08   0.43996933E-04
   0.43560   0.10234294E-07   0.26521227E-08   0.55849341E-04
   0.48400   0.21800462E-07   0.30147404E-08   0.62347953E-04
   0.53240   0.32109895E-07   0.32037443E-08   0.58034630E-04
   0.58080   0.40823806E-07   0.32014818E-08   0.36340202E-04
   0.62920   0.47700219E-07   0.30003722E-08  -0.99801367E-05
   0.67760   0.52595486E-07   0.26026682E-08  -0.88234762E-04
   0.72600   0.55460846E-07   0.20222707E-08  -0.20503835E-03
   0.77440   0.56333448E-07   0.12842378E-08  -0.36545740E-03
   0.82280   0.55325599E-07   0.42516842E-09  -0.57212046E-03
   0.87120   0.52607958E-07  -0.51125763E-09  -0.82436381E-03
   0.91960   0.48396995E-07  -0.14733620E-08  -0.11174889E-02
   0.96800   0.42940828E-07  -0.24035950E-08  -0.14422091E-02
   1.01640   0.36503258E-07  -0.32436537E-08  -0.17843541E-02
   1.06480   0.29352750E-07  -0.39366716E-08  -0.21248906E-02
   1.11320   0.21753696E-07  -0.44309060E-08  -0.24403056E-02
   1.16160   0.13957561E-07  -0.46862662E-08  -0.27033701E-02
   1.21000   0.61955330E-08  -0.46797986E-08  -0.28842800E-02
   1.25840  -0.13259191E-08  -0.44077537E-08  -0.29521475E-02
   1.30680  -0.84270743E-08  -0.38848750E-08  -0.28767962E-02
   1.35520  -0.14955799E-07  -0.31422990E-08  -0.26307844E-02
   1.40360  -0.20787824E-07  -0.22247740E-08  -0.21915569E-02
   1.45200  -0.25826328E-07  -0.11870926E-08  -0.15436069E-02
   1.50040  -0.30000983E-07  -0.90011199E-10  -0.68051622E-03
   1.54880  -0.33266277E-07   0.10042298E-08   0.39325968E-03
   1.59720  -0.35599370E-07   0.20361460E-08   0.16609964E-02
   1.64560  -0.36997420E-07   0.29528101E-08   0.30928190E-02
   1.69400  -0.37474729E-07   0.37107140E-08   0.46454409E-02
   1.74240  -0.37059752E-07   0.42777645E-08   0.62626087E-02
   1.79080  -0.35792230E-07   0.46342530E-08   0.78763044E-02
   1.83920  -0.33720909E-07   0.47728065E-08   0.94087216E-02
   1.88760  -0.30901935E-07   0.46976291E-08   0.10774992E-01
   1.93600  -0.27398018E-07   0.44231542E-08   0.11886594E-01
   1.98440  -0.23278356E-07   0.39722708E-08   0.12655343E-01
   2.03280  -0.18619074E-07   0.33743914E-08   0.12997805E-01
   2.08120  -0.13503899E-07   0.26634836E-08   0.12839952E-01
   2.12960  -0.80249062E-08   0.18760646E-08   0.12121859E-01
   2.17800  -0.22831367E-08   0.10492698E-08   0.10802192E-01
   2.22640   0.36109703E-08   0.21908028E-09   0.88622635E-02
   2.27480   0.95374363E-08  -0.58116747E-09   0.63094029E-02
   2.32320   0.15366948E-07  -0.13219945E-08   0.31794241E-02
   2.37160   0.20961545E-07  -0.19786592E-08  -0.46202221E-03
   2.42000   0.26175968E-07  -0.25317647E-08  -0.45193687E-02
   2.46840   0.30859931E-07  -0.29675422E-08  -0.88684409E-02
   2.51680   0.34861541E-07  -0.32778135E-08  -0.13359212E-01
   2.56520   0.38032016E-07  -0.34596073E-08  -0.17819994E-01
   2.61360   0.40231694E-07  -0.35144631E-08  -0.22062987E-01
   2.66200   0.41337091E-07  -0.34475687E-08  -0.25891046E-01
   2.71040   0.41248575E-07  -0.32668803E-08  -0.29105439E-01
   2.75880   0.39898087E-07  -0.29823695E-08  -0.31514349E-01
   2.80720   0.37256231E-07  -0.26055320E-08  -0.32941755E-01
   2.85560   0.33338102E-07  -0.21491487E-08  -0.33236372E-01
   2.90400   0.28207235E-07  -0.16272513E-08  -0.32280210E-01
   2.95240   0.21977205E-07  -0.10551849E-08  -0.29996389E-01
   3.00080   0.14810575E-07  -0.44966583E-09  -0.26355776E-01
   3.04920   0.69150982E-08   0.17127336E-09  -0.21382092E-01
   3.09760  -0.14627469E-08   0.78852505E-09  -0.15155163E-01
   3.14600  -0.10046560E-07   0.13823430E-08  -0.78120219E-02
   3.19440  -0.18540712E-07   0.19329728E-08   0.45429608E-03
   3.24280  -0.26642323E-07   0.24214360E-08   0.93983943E-02
   3.29120  -0.34053867E-07   0.28303988E-08   0.18728587E-01
   3.33960  -0.40495723E-07   0.31450431E-08   0.28115311E-01
   3.38800  -0.45718029E-07   0.33538676E-08   0.37201679E-01
   3.43640  -0.49511291E-07   0.34493527E-08   0.45615873E-01
   3.48480  -0.51715263E-07   0.34284049E-08   0.52984986E-01
   3.53320  -0.52225775E-07   0.32925789E-08   0.58949826E-01
   3.58160  -0.50999258E-07   0.30480337E-08   0.63180145E-01
   3.63000  -0.48054847E-07   0.27052582E-08   0.65389694E-01
   3.67840  -0.43474010E-07   0.22785604E-08   0.65350473E-01
   3.72680  -0.37397770E-07   0.17853579E-08   0.62905565E-01
   3.77520  -0.30021619E-07   0.12453356E-08   0.57979944E-01
   3.82360  -0.21588364E-07   0.67948051E-09   0.50588702E-01
   3.87200  -0.12379170E-07   0.10910605E-09   0.40842219E-01
   3.92040  -0.27031729E-08  -0.44512443E-09   0.28947890E-01
   3.96880   0.71138971E-08  -0.96408035E-09   0.15208141E-01
   4.01720   0.16741620E-07  -0.14309292E-08   0.14597524E-04
   4.06560   0.25856813E-07  -0.18317363E-08  -0.16161567E-01
   4.11400   0.34155012E-07  -0.21558902E-08  -0.32782950E-01
   4.16240   0.41361064E-07  -0.23963293E-08  -0.49262574E-01
   4.21080   0.47238490E-07  -0.25495828E-08  -0.64983412E-01
   4.25920   0.51597295E-07  -0.26156246E-08  -0.79320157E-01
   4.30760   0.54300051E-07  -0.25975697E-08  -0.91662536E-01
   4.35600   0.55266097E-07  -0.25012406E-08  -0.10143932E+00
   4.40440   0.54473772E-07  -0.23346484E-08  -0.10814212E+00
   4.45280   0.51960673E-07  -0.21074239E-08  -0.11134813E+00
   4.50120   0.47821933E-07  -0.18302519E-08  -0.11074069E+00
   4.54960   0.42206582E-07  -0.15143386E-08  -0.10612704E+00
   4.59800   0.35312100E-07  -0.11709342E-08  -0.97452141E-01
   4.64640   0.27377306E-07  -0.81094821E-09  -0.84808124E-01
   4.69480   0.18673793E-07  -0.44463079E-09  -0.68438537E-01
   4.74320   0.94961801E-08  -0.81342609E-10  -0.48737147E-01
   4.79160   0.15152341E-09   0.27058633E-09  -0.26240993E-01
   4.84000  -0.90517510E-08   0.60394659E-09  -0.16177009E-02
   4.88840  -0.17814943E-07   0.91266650E-09   0.24352726E-01
   4.93680  -0.25859768E-07   0.11917734E-08   0.50801230E-01
   4.98520  -0.32938178E-07   0.14373179E-08   0.76797472E-01
   5.03360  -0.38840911E-07   0.16462536E-08   0.10138124E+00
   5.08200  -0.43404365E-07   0.18163057E-08   0.12359646E+00
   5.13040  -0.46515534E-07   0.19458124E-08   0.14252666E+00
   5.17880  -0.48114778E-07   0.20335942E-08   0.15733064E+00
   5.22720  -0.48196336E-07   0.20788249E-08   0.16727705E+00
   5.27560  -0.46806603E-07   0.20809566E-08   0.17177643E+00
   5.32400  -0.44040280E-07   0.20396820E-08   0.17040952E+00
   5.37240  -0.40034639E-07   0.19549620E-08   0.16295056E+00
   5.42080  -0.34962220E-07   0.18271100E-08   0.14938438E+00
   5.46920  -0.29022386E-07   0.16569287E-08   0.12991650E+00
   5.51760  -0.22432178E-07   0.14458982E-08   0.10497547E+00
   5.56600  -0.15416999E-07   0.11963913E-08   0.75206961E-01
   5.61440  -0.82016164E-08   0.91190485E-09   0.41459664E-01
   5.66280  -0.10019812E-08   0.59727331E-09   0.47630510E-02
   5.71120   0.59817334E-08   0.25885152E-09  -0.33702405E-01
   5.75960   0.12570559E-07  -0.95376007E-10  -0.72641779E-01
   5.80800   0.18610431E-07  -0.45578383E-09  -0.11068790E+00
   5.85640   0.23974127E-07  -0.81122189E-09  -0.14644794E+00
   5.90480   0.28561541E-07  -0.11492686E-08  -0.17855278E+00
   5.95320   0.32298546E-07  -0.14566546E-08  -0.20570773E+00
   6.00160   0.35134772E-07  -0.17198315E-08  -0.22674251E+00
   6.05000   0.37040718E-07  -0.19256894E-08  -0.24065887E+00
   6.09840   0.38004628E-07  -0.20623744E-08  -0.24667392E+00
   6.14680   0.38029539E-07  -0.21201643E-08  -0.24425730E+00
   6.19520   0.37130887E-07  -0.20923283E-08  -0.23316061E+00
   6.24360   0.35334899E-07  -0.19758933E-08  -0.21343766E+00
   6.29200   0.32677924E-07  -0.17722491E-08  -0.18545428E+00
   6.34040   0.29206713E-07  -0.14874891E-08  -0.14988689E+00
   6.38880   0.24979530E-07  -0.11324601E-08  -0.10770960E+00
   6.43720   0.20067927E-07  -0.72243781E-09  -0.60169780E-01
